Date,Symbol,Price,LongTraderNumber,LongLotNumber,LongAverageEntry,ShortTraderNumber,ShortLotNumber,ShortAverageEntry
2019/07/09 09:27:17,EURJPY,122.069,129,11.3,123.35,92,10.9,122.15
2019/07/09 09:27:43,EURCAD,1.47067,97,41.4,1.4802,36,2.0,1.4721
2019/07/09 09:28:10,GBPUSD,1.24853,289,344.4,1.2806,152,144.9,1.2782
2019/07/09 09:28:38,USDCAD,1.31191,165,62.1,1.3187,84,274.7,1.3097
2019/07/10 11:05:19,EURCHF,1.11239,57,17.0,1.1253,37,2.8,1.1159
2019/07/10 11:05:47,GBPJPY,135.955,169,47.4,139.02,88,17.1,136.61
2019/07/10 11:06:13,USDMXN,19.18025,5,0.2,19.6258,3,0.1,19.1446
2019/07/10 11:06:41,EURGBP,0.89925,51,5.4,0.8726,184,67.6,0.8869
2019/07/10 11:07:09,EURUSD,1.1225,397,394.9,1.1252,277,85.6,1.1227
2019/07/10 11:07:36,GBPCAD,1.63794,91,40.1,1.6808,25,1.9,1.6521
2019/07/10 11:08:05,CADJPY,83.016,50,5.6,83.97,75,12.5,82.13
2019/07/10 11:08:32,CHFJPY,109.902,38,2.5,110.78,35,3.3,110.18
2019/07/10 11:09:00,USDCHF,0.9912,79,34.3,1.0032,107,23.2,0.9884
2019/07/10 11:09:27,USDJPY,108.938,185,37.8,110.01,147,27.8,108.55
2019/07/10 11:09:54,EURJPY,122.287,130,9.5,123.63,95,9.8,122.23
2019/07/10 11:10:21,EURCAD,1.47304,101,48.2,1.4795,34,1.7,1.4729
2019/07/10 11:10:48,GBPUSD,1.2484899999999999,297,257.9,1.2875,145,145.1,1.2779
2019/07/10 11:11:15,USDCAD,1.31229,154,52.3,1.3216,101,113.7,1.3097
2019/07/11 09:08:56,EURCHF,1.11226,48,16.4,1.1256,32,1.4,1.1178
2019/07/11 09:09:25,GBPJPY,135.378,167,45.8,139.07,96,11.2,137.17
2019/07/11 09:09:52,USDMXN,19.10995,5,0.2,19.6094,1,0.0,18.9855
2019/07/11 09:10:20,EURGBP,0.89941,45,5.9,0.8752,189,170.2,0.8943
2019/07/11 09:10:47,EURUSD,1.12716,354,325.7,1.1267,291,118.8,1.1245
2019/07/11 09:11:14,GBPCAD,1.63475,93,39.9,1.681,26,1.1,1.6629
2019/07/11 09:11:41,CADJPY,82.8,42,5.6,83.92,70,10.3,82.01
2019/07/11 09:12:07,CHFJPY,109.473,27,2.3,110.9,41,3.8,110.06
2019/07/11 09:12:34,USDCHF,0.9868600000000001,77,34.2,1.003,112,15.5,0.9866
2019/07/11 09:13:00,USDJPY,108.041,170,94.4,108.83,122,115.2,108.07
2019/07/11 09:13:28,EURJPY,121.773,121,9.9,123.49,95,9.0,122.16
2019/07/11 09:13:55,EURCAD,1.47061,79,31.8,1.4833,37,9.6,1.4748
2019/07/11 09:14:22,GBPUSD,1.25301,295,236.8,1.2911,129,145.5,1.2779
2019/07/11 09:14:49,USDCAD,1.30509,155,38.8,1.324,94,228.5,1.3101
2019/07/12 09:19:13,EURCHF,1.11344,48,16.7,1.1256,30,1.3,1.1181
2019/07/12 09:19:41,GBPJPY,135.97,158,45.4,139.14,95,16.4,136.75
2019/07/12 09:20:08,USDMXN,19.07129,7,0.2,19.5156,2,0.1,19.0365
2019/07/12 09:20:36,EURGBP,0.898,52,8.8,0.8828,192,170.9,0.8939
2019/07/12 09:21:05,EURUSD,1.12687,350,311.0,1.1269,309,116.2,1.1246
2019/07/12 09:21:33,GBPCAD,1.63411,90,41.0,1.6798,29,1.4,1.6596
2019/07/12 09:22:01,CADJPY,83.177,48,5.3,83.94,66,11.5,82.15
2019/07/12 09:23:36,CHFJPY,109.663,30,2.5,110.8,36,5.5,109.91
2019/07/12 09:24:03,USDCHF,0.9876299999999999,81,35.7,1.0025,108,19.5,0.9869
2019/07/12 09:24:31,USDJPY,108.341,184,213.2,108.75,136,172.4,108.07
2019/07/12 09:24:58,EURJPY,122.102,122,7.7,124.01,95,11.3,122.17
2019/07/12 09:25:25,EURCAD,1.46771,82,32.7,1.4828,42,15.8,1.4736
2019/07/12 09:25:53,GBPUSD,1.25462,280,238.4,1.2909,136,149.5,1.2773
2019/07/12 09:26:21,USDCAD,1.30251,153,47.9,1.3202,100,210.5,1.3103
2019/07/15 09:41:51,EURCHF,1.10884,49,17.1,1.125,28,1.7,1.1155
2019/07/15 09:42:19,GBPJPY,135.625,159,47.7,139.15,86,13.1,137.51
2019/07/15 09:42:47,USDMXN,18.95102,7,0.2,19.535,3,0.1,19.0218
2019/07/15 09:43:16,EURGBP,0.89789,55,9.3,0.8831,178,63.4,0.8859999999999999
2019/07/15 09:43:45,EURUSD,1.12804,349,302.2,1.127,319,124.5,1.1248
2019/07/15 09:44:14,GBPCAD,1.63619,84,42.4,1.6799,27,1.4,1.6585
2019/07/15 09:44:42,CADJPY,82.88,42,3.6,84.47,60,12.9,82.2
2019/07/15 09:45:09,CHFJPY,109.78,32,2.3,110.9,35,9.5,109.8
2019/07/15 09:45:37,USDCHF,0.98331,77,35.1,1.0025,112,27.8,0.9854
2019/07/15 09:46:05,USDJPY,107.956,180,65.2,109.22,128,166.4,108.0
2019/07/15 09:46:33,EURJPY,121.79299999999999,115,11.1,123.31,92,10.6,122.07
2019/07/15 09:47:00,EURCAD,1.4691299999999998,88,34.4,1.4819,42,19.4,1.4724
2019/07/15 09:47:29,GBPUSD,1.25635,255,242.5,1.2906,137,150.7,1.2772
2019/07/15 09:47:57,USDCAD,1.3024,161,74.9,1.3142,102,335.8,1.3076
2019/07/16 09:00:09,EURCHF,1.1077299999999999,51,17.2,1.1249,29,1.4,1.1101
2019/07/16 09:00:38,GBPJPY,135.029,191,58.6,138.37,87,17.7,136.74
2019/07/16 09:01:06,USDMXN,18.98957,7,0.2,19.4831,3,0.1,19.0218
2019/07/16 09:01:35,EURGBP,0.90087,42,4.8,0.8788,204,124.5,0.8923
2019/07/16 09:02:04,EURUSD,1.1257,360,323.6,1.1269,335,109.1,1.1244
2019/07/16 09:02:33,GBPCAD,1.63099,93,44.6,1.6773,32,1.8,1.6524
2019/07/16 09:03:00,CADJPY,82.781,42,3.5,84.53,69,14.7,82.42
2019/07/16 09:03:28,CHFJPY,109.813,33,2.3,110.85,33,2.3,110.38
2019/07/16 09:03:56,USDCHF,0.98375,80,33.6,1.0033,115,22.8,0.9852
2019/07/16 09:04:24,USDJPY,108.037,193,63.0,109.26,136,168.7,107.99
2019/07/16 09:04:53,EURJPY,121.611,120,12.1,123.13,87,8.7,122.1
2019/07/16 09:05:21,EURCAD,1.46908,83,33.6,1.4822,47,22.3,1.4721
2019/07/16 09:05:49,GBPUSD,1.2493299999999998,267,289.7,1.2848,156,146.7,1.2777
2019/07/16 09:06:18,USDCAD,1.30523,171,44.2,1.3216,105,338.3,1.3076
2019/07/17 09:42:07,EURCHF,1.10779,52,18.4,1.1238,34,2.7,1.1088
2019/07/17 09:42:35,GBPJPY,134.144,176,54.9,138.01,74,25.7,135.66
2019/07/17 09:43:03,USDMXN,19.11297,7,0.2,19.4333,5,0.2,19.0683
2019/07/17 09:43:31,EURGBP,0.90409,45,6.0,0.8852,188,89.5,0.8905
2019/07/17 09:44:00,EURUSD,1.12074,365,215.8,1.1283,279,71.5,1.1231
2019/07/17 09:44:28,GBPCAD,1.61936,83,36.0,1.6816,26,1.9,1.6425
