0,1,2
1,GBPUSD,"[[447.88, 210.0], [404.44, 185.0], [372.77, 160.0], [288.85, 135.0], [273.61, 110.0], [248.53, 85.0], [124.01, 60.0], [-10.84, 35.0], [-17.53, 10.0]]"
1,GBPUSD,"[[581.34, 135.0], [511.42, 210.0], [477.7, 160.0], [465.67, 185.0], [462.7, 110.0], [21.94, 85.0], [-6.74, 35.0], [-51.8, 10.0], [-90.2, 60.0]]"
1,GBPUSD,"[[574.39, 160.0], [492.92, 135.0], [416.48, 110.0], [399.95, 185.0], [382.76, 60.0], [341.06, 85.0], [304.44, 210.0], [56.85, 35.0], [18.3, 10.0]]"
1,GBPUSD,"[[202.97, 60.0], [155.96, 35.0], [42.6, 10.0], [11.85, 210.0], [-8.7, 185.0], [-18.6, 85.0], [-31.93, 160.0], [-43.4, 110.0], [-68.34, 135.0]]"
1,GBPUSD,"[[280.02, 110.0], [44.22, 210.0], [44.22, 185.0], [44.22, 160.0], [44.22, 135.0], [32.62, 85.0], [-16.12, 35.0], [-20.4, 10.0], [-107.08, 60.0]]"
1,GBPUSD,"[[6.53, 10.0], [-189.0, 210.0], [-189.0, 185.0], [-189.0, 160.0], [-189.0, 135.0], [-202.35, 85.0], [-224.85, 110.0], [-292.69, 60.0], [-336.12, 35.0]]"
1,GBPUSD,"[[228.97, 210.0], [228.97, 185.0], [228.97, 160.0], [210.35, 135.0], [156.43, 35.0], [92.55, 110.0], [42.1, 10.0], [-102.27, 85.0], [-195.93, 60.0]]"
1,GBPUSD,"[[85.47, 160.0], [56.13, 185.0], [-9.14, 210.0], [-15.27, 110.0], [-35.64, 85.0], [-77.93, 135.0], [-81.7, 10.0], [-162.77, 60.0], [-331.71, 35.0]]"
1,GBPUSD,"[[85.47, 160.0], [56.13, 185.0], [-9.14, 210.0], [-15.27, 110.0], [-35.64, 85.0], [-77.93, 135.0], [-81.7, 10.0], [-162.77, 60.0], [-331.71, 35.0]]"
1,GBPUSD,"[[408.0, 160.0], [395.18, 185.0], [375.95, 210.0], [372.04, 110.0], [370.85, 135.0], [356.3, 85.0], [232.61, 60.0], [121.42, 35.0], [-9.7, 10.0]]"
