Date,Symbol,Price,Hour1Buy,Hour1Sell,Hour1Neutral,Hour4Buy,Hour4Sell,Hour4Neutral,DayBuy,DaySell,DayNeutral,WeekBuy,WeekSell,WeekNeutral,MonthBuy,MonthSell,MonthNeutral,Hour1Desition,Hour4Desition,DayDesition,WeekDesition,MonthDesition,Hour1PeriodStatus,Hour1ClosingPrice,Hour4PeriodStatus,Hour4ClosingPrice,DayPeriodStatus,DayClosingPrice,WeekPeriodStatus,WeekClosingPrice,MonthPeriodStatus,MonthClosingPrice,Hour1Accuracy,Hour1ProfitPercentage,Hour4Accuracy,Hour4ProfitPercentage,DayAccuracy,DayProfitPercentage,WeekAccuracy,WeekProfitPercentage,MonthAccuracy,MonthProfitPercentage
2019-04-17 18:18:00,EURCAD,1.5076,13,5,10,12,8,8,12,7,8,11,7,9,8,5,10,BUY,BUY,BUY,BUY,NEUTRAL,CLOSED,1.5069,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0004645298294512874,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:19:18,GBPUSD,1.3031,1,19,8,0,19,9,3,15,9,7,11,9,2,12,9,SELL,SELL,SELL,SELL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 18:20:27,USDCAD,1.3351,15,3,10,13,7,8,12,6,9,14,3,10,14,1,8,BUY,BUY,BUY,BUY,BUY,CLOSED,1.3342,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0006745615350021742,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:06:26,EURCHF,1.1414,20,2,6,19,2,7,17,2,8,15,2,10,10,4,9,BUY,BUY,BUY,BUY,BUY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:07:45,GBPJPY,145.94,4,16,8,5,14,9,13,4,10,12,5,10,8,7,8,SELL,SELL,BUY,BUY,NEUTRAL,CLOSED,146.13,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0013002121398754379,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:09:00,USDMXN,18.8314,1,17,10,3,15,10,3,15,9,4,16,7,5,9,9,SELL,SELL,SELL,SELL,NEUTRAL,CLOSED,18.8454,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0007428868583316298,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:10:07,EURGBP,0.8666,17,1,10,18,2,8,13,7,7,7,10,10,5,11,7,BUY,BUY,BUY,NEUTRAL,SELL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:11:16,EURUSD,1.1297,7,11,10,11,8,9,12,6,9,6,11,10,2,13,8,SELL,BUY,BUY,SELL,SELL,CLOSED,1.1299,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.00017700681476234888,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:12:29,GBPCAD,1.7397,6,13,9,2,18,8,5,13,9,11,6,10,11,4,8,SELL,SELL,SELL,BUY,BUY,CLOSED,1.7399,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.00011494913500774641,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
2019-04-17 19:13:47,CADJPY,83.92,9,10,9,15,4,9,15,3,9,9,8,10,3,11,9,SELL,BUY,BUY,NEUTRAL,SELL,CLOSED,83.96,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,0,-0.0004764173415911392,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
